fr_price,ageing_ratio,c_deg_arbitrage,c_deg_frequency,net_GBP,GBP_per_MW_yr,revenue_energy_GBP,revenue_fr_GBP,fr_share_of_gross_pct,mean_reserve_MW,efc_per_year
2.0,1.0,30.56,30.56,624632,25189,1047238,0,0.0,0.0,278.9
2.0,1.5,30.56,20.37,624632,25189,1047238,0,0.0,0.0,278.9
2.0,1.85,30.56,16.52,651468,26272,1021727,192268,15.8,22.13,266.4
2.0,2.5,30.56,12.22,699691,28216,968820,251403,20.6,28.94,242.1
5.0,1.0,30.56,30.56,873194,35213,853597,824180,49.1,37.95,198.6
5.0,1.5,30.56,20.37,1048191,42270,782076,889467,53.2,40.95,172.2
5.0,1.85,30.56,16.52,1117533,45067,754767,909788,54.7,41.89,162.7
5.0,2.5,30.56,12.22,1196350,48245,732353,925070,55.8,42.59,155.0
10.0,1.0,30.56,30.56,1809829,72985,580107,2008939,77.6,46.25,109.1
10.0,1.5,30.56,20.37,2014820,81251,560115,2021848,78.3,46.54,102.5
10.0,1.85,30.56,16.52,2092914,84401,549578,2030251,78.7,46.74,100.0
10.0,2.5,30.56,12.22,2180378,87928,529135,2044356,79.4,47.06,94.5
