quantity,unit,point,boot_median,ci95_lo,ci95_hi,iqr_lo,iqr_hi,ci95_width,ci95_lo_28d,ci95_hi_28d,quarters_min,quarters_max,n_quarters
"deg overstatement, italian c_deg", %,42.11,42.19,37.64,46.81,40.69,43.77,9.17,37.17,47.91,32.23,76.37,8
"deg overstatement, german c_deg", %,78.32,78.65,68.96,89.15,75.02,82.25,20.19,67.92,90.28,59.92,155.2,8
headroom overstatement @ GBP2/MW/h, %,14.04,14.08,12.71,15.49,13.58,14.57,2.78,13.09,15.18,12.67,16.79,8
headroom overstatement @ GBP5/MW/h, %,14.76,14.78,13.66,15.91,14.39,15.16,2.25,13.8,15.74,11.6,16.61,8
headroom overstatement @ GBP10/MW/h, %,8.35,8.36,7.4,9.36,8.01,8.69,1.96,7.34,9.42,4.35,10.75,8
headroom overstatement @ GBP20/MW/h, %,2.95,2.95,2.45,3.5,2.78,3.15,1.05,2.36,3.54,0.87,4.35,8
"conventional overstatement, no thermal", %,-2.89,-2.9,-3.69,-2.23,-3.17,-2.63,1.46,-3.74,-2.17,-4.26,-1.73,8
shape share of the efficiency term, %,1.29,1.29,1.24,1.34,1.27,1.3,0.1,1.24,1.34,1.1,1.38,8
service-differentiation gain @ GBP2/MW/h, %,6.78,6.76,5.64,8.01,6.4,7.19,2.37,5.56,8.24,4.79,11.77,8
service-differentiation gain @ GBP5/MW/h, %,7.62,7.63,7.01,8.26,7.43,7.85,1.25,6.98,8.34,6.45,10.18,8
service-differentiation gain @ GBP10/MW/h, %,5.02,5.02,4.81,5.21,4.95,5.09,0.4,4.81,5.23,4.62,5.65,8
"net capture, gbm", %,48.44,48.47,44.09,52.37,47.05,49.86,8.28,43.77,52.25,36.61,63.13,8
"gross capture, gbm", %,60.14,60.14,57.31,63.03,59.08,61.17,5.71,57.17,62.98,48.67,70.89,8
"net capture, persistence", %,38.44,38.35,32.07,44.19,36.32,40.38,12.12,32.61,44.11,17.66,54.99,8
"gross capture, persistence", %,54.12,54.11,49.59,58.36,52.63,55.64,8.77,50.15,58.07,42.59,64.66,8
