quantity,quarter,days,value
"deg overstatement, italian c_deg",2024Q1,31,76.37423986667515
"deg overstatement, italian c_deg",2024Q2,91,50.90417306962662
"deg overstatement, italian c_deg",2024Q3,92,49.94635064943604
"deg overstatement, italian c_deg",2024Q4,92,34.24715334158002
"deg overstatement, italian c_deg",2025Q1,90,32.22890683975592
"deg overstatement, italian c_deg",2025Q2,91,37.88087808223884
"deg overstatement, italian c_deg",2025Q3,92,44.05097382788601
"deg overstatement, italian c_deg",2025Q4,92,43.57334476616161
"deg overstatement, german c_deg",2024Q1,31,155.19713872739808
"deg overstatement, german c_deg",2024Q2,91,100.37078923322808
"deg overstatement, german c_deg",2024Q3,92,92.43271360854703
"deg overstatement, german c_deg",2024Q4,92,60.888315712162225
"deg overstatement, german c_deg",2025Q1,90,59.91601739703203
"deg overstatement, german c_deg",2025Q2,91,70.24049494549278
"deg overstatement, german c_deg",2025Q3,92,82.44393198587623
"deg overstatement, german c_deg",2025Q4,92,83.0056132149351
headroom overstatement @ GBP2/MW/h,2024Q1,31,16.789080378103694
headroom overstatement @ GBP2/MW/h,2024Q2,91,13.81743367838637
headroom overstatement @ GBP2/MW/h,2024Q3,92,14.702341330977697
headroom overstatement @ GBP2/MW/h,2024Q4,92,14.612047197938093
headroom overstatement @ GBP2/MW/h,2025Q1,90,13.108829222970297
headroom overstatement @ GBP2/MW/h,2025Q2,91,12.669550681735808
headroom overstatement @ GBP2/MW/h,2025Q3,92,13.9278825807438
headroom overstatement @ GBP2/MW/h,2025Q4,92,15.658502704559751
headroom overstatement @ GBP5/MW/h,2024Q1,31,11.596079425677441
headroom overstatement @ GBP5/MW/h,2024Q2,91,13.90399239723379
headroom overstatement @ GBP5/MW/h,2024Q3,92,14.734669510475594
headroom overstatement @ GBP5/MW/h,2024Q4,92,16.608022857307514
headroom overstatement @ GBP5/MW/h,2025Q1,90,14.608807231642018
headroom overstatement @ GBP5/MW/h,2025Q2,91,16.286715800911345
headroom overstatement @ GBP5/MW/h,2025Q3,92,13.739487089947389
headroom overstatement @ GBP5/MW/h,2025Q4,92,14.1547247764491
headroom overstatement @ GBP10/MW/h,2024Q1,31,4.350417514487326
headroom overstatement @ GBP10/MW/h,2024Q2,91,7.916313673221564
headroom overstatement @ GBP10/MW/h,2024Q3,92,7.755931775284575
headroom overstatement @ GBP10/MW/h,2024Q4,92,9.740534590141547
headroom overstatement @ GBP10/MW/h,2025Q1,90,8.412337967371064
headroom overstatement @ GBP10/MW/h,2025Q2,91,10.750918362389017
headroom overstatement @ GBP10/MW/h,2025Q3,92,8.023657656740536
headroom overstatement @ GBP10/MW/h,2025Q4,92,7.031636171096811
headroom overstatement @ GBP20/MW/h,2024Q1,31,0.8659003835554513
headroom overstatement @ GBP20/MW/h,2024Q2,91,2.5388679484752874
headroom overstatement @ GBP20/MW/h,2024Q3,92,2.5939414858959786
headroom overstatement @ GBP20/MW/h,2024Q4,92,3.677673776993684
headroom overstatement @ GBP20/MW/h,2025Q1,90,2.9502337102632836
